
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
827 7175 7175 8985.0
828 5343 5343 7175.0
829 3493 3493 5343.0
830 1632 1632 3493.0
831 -233 -233 1632.0
832 -2098 -2098 -233.0
833 -3957 -3957 -2098.0
834 -5803 -5803 -3957.0
835 -7630 -7630 -5803.0
836 -9432 -9432 -7630.0
837 -11204 -11204 -9432.0
838 -12939 -12939 -11204.0
839 -14633 -14633 -12939.0
840 -16278 -16278 -14633.0
841 -17871 -17871 -16278.0
842 -19406 -19406 -17871.0
843 -20878 -20878 -19406.0
844 -22282 -22282 -20878.0
845 -23614 -23614 -22282.0
846 -24869 -24869 -23614.0
847 -26043 -26043 -24869.0
848 -27133 -27133 -26043.0
849 -28134 -28134 -27133.0
850 -29044 -29044 -28134.0
851 -29860 -29860 -29044.0
852 -30579 -30579 -29860.0
853 -31199 -31199 -30579.0
854 -31717 -31717 -31199.0
855 -32133 -32133 -31717.0
856 -32444 -32444 -32133.0
857 -32650 -32650 -32444.0
858 -32749 -32749 -32650.0
859 -32743 -32743 -32749.0
860 -32630 -32630 -32743.0
861 -32411 -32411 -32630.0
862 -32087 -32087 -32411.0
863 -31658 -31658 -32087.0
864 -31127 -31127 -31658.0
865 -30495 -30495 -31127.0
866 -29764 -29764 -30495.0
867 -28936 -28936 -29764.0
868 -28014 -28014 -28936.0
869 -27001 -27001 -28014.0
870 -25901 -25901 -27001.0
871 -24716 -24716 -25901.0
872 -23451 -23451 -24716.0
873 -22110 -22110 -23451.0
874 -20698 -20698 -22110.0
875 -19218 -19218 -20698.0
876 -17675 -17675 -19218.0
877 -16075 -16075 -17675.0
878 -14423 -14423 -16075.0
879 -12725 -12725 -14423.0
880 -10984 -10984 -12725.0
881 -9209 -9209 -10984.0
882 -7403 -7403 -9209.0
883 -5573 -5573 -7403.0
884 -3725 -3725 -5573.0
885 -1865 -1865 -3725.0
886 0 0 -1865.0
887 1865 1865 0.0
888 3725 3725 1865.0
889 5573 5573 3725.0
890 7403 7403 5573.0
891 9209 9209 7403.0
892 10984 10984 9209.0
893 12725 12725 10984.0
894 14423 14423 12725.0
895 16075 16075 14423.0
896 17675 17675 16075.0
897 19218 19218 17675.0
898 20698 20698 19218.0
899 22110 22110 20698.0
900 23451 23451 22110.0
901 24716 24716 23451.0
902 25901 25901 24716.0
903 27001 27001 25901.0
904 28014 28014 27001.0
905 28936 28936 28014.0
906 29764 29764 28936.0
907 30495 30495 29764.0
908 31127 31127 30495.0
909 31658 31658 31127.0
910 32087 32087 31658.0
911 32411 32411 32087.0
912 32630 32630 32411.0
913 32743 32743 32630.0
914 32749 32749 32743.0
915 32650 32650 32749.0
916 32444 32444 32650.0
917 32133 32133 32444.0
918 31717 31717 32133.0
919 31199 31199 31717.0
920 30579 30579 31199.0
921 29860 29860 30579.0
922 29044 29044 29860.0
923 28134 28134 29044.0
924 27133 27133 28134.0
925 26043 26043 27133.0
926 24869 24869 26043.0
927 23614 23614 24869.0
928 22282 22282 23614.0
929 20878 20878 22282.0
930 19406 19406 20878.0
931 17871 17871 19406.0
932 16278 16278 17871.0
933 14633 14633 16278.0
934 12939 12939 14633.0
935 11204 11204 12939.0
936 9432 9432 11204.0
937 7630 7630 9432.0
938 5803 5803 7630.0
939 3957 3957 5803.0
940 2098 2098 3957.0
941 233 233 2098.0
942 -1632 -1632 233.0
