
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   355 0.12956866975170198
debug TranLossPrecent   356 0.1288249551693134
debug TranLossPrecent   357 0.12808550945362787
debug TranLossPrecent   358 0.12735030810166617
debug TranLossPrecent   359 0.12661932675109444
debug TranLossPrecent   360 0.12589254117941673
debug TranLossPrecent   361 0.12516992730317253
debug TranLossPrecent   362 0.12445146117713851
debug TranLossPrecent   363 0.12373711899353526
debug TranLossPrecent   364 0.12302687708123815
debug TranLossPrecent   365 0.12232071190499316
debug TranLossPrecent   366 0.12161860006463679
debug TranLossPrecent   367 0.12092051829432085
debug TranLossPrecent   368 0.12022644346174129
debug TranLossPrecent   369 0.11953635256737187
debug TranLossPrecent   370 0.11885022274370184
debug TranLossPrecent   371 0.11816803125447838
debug TranLossPrecent   372 0.11748975549395295
debug TranLossPrecent   373 0.11681537298613247
debug TranLossPrecent   374 0.11614486138403426
debug TranLossPrecent   375 0.11547819846894583
debug TranLossPrecent   376 0.1148153621496883
debug TranLossPrecent   377 0.11415633046188457
debug TranLossPrecent   378 0.11350108156723153
debug TranLossPrecent   379 0.11284959375277617
debug TranLossPrecent   380 0.11220184543019636
debug TranLossPrecent   381 0.11155781513508523
debug TranLossPrecent   382 0.11091748152624012
debug TranLossPrecent   383 0.11028082338495519
debug TranLossPrecent   384 0.10964781961431852
debug TranLossPrecent   385 0.10901844923851277
debug TranLossPrecent   386 0.10839269140212036
debug TranLossPrecent   387 0.10777052536943219
debug TranLossPrecent   388 0.10715193052376065
debug TranLossPrecent   389 0.10653688636675633
debug TranLossPrecent   390 0.1059253725177289
debug TranLossPrecent   391 0.1053173687129716
debug TranLossPrecent   392 0.10471285480508996
debug TranLossPrecent   393 0.10411181076233395
debug TranLossPrecent   394 0.1035142166679344
debug TranLossPrecent   395 0.10292005271944281
debug TranLossPrecent   396 0.10232929922807542
debug TranLossPrecent   397 0.10174193661806048
debug TranLossPrecent   398 0.10115794542598985
debug TranLossPrecent   399 0.10057730630017382
debug TranLossPrecent   400 0.1
debug TranLossPrecent   401 0.10057586249628395
debug TranLossPrecent   402 0.10115215144324002
debug TranLossPrecent   403 0.10172885789796432
debug TranLossPrecent   404 0.10230597298425086
debug TranLossPrecent   405 0.10288348789230457
debug TranLossPrecent   406 0.10346139387845171
debug TranLossPrecent   407 0.10403968226484771
debug TranLossPrecent   408 0.10461834443918255
debug TranLossPrecent   409 0.10519737185438381
debug TranLossPrecent   410 0.1057767560283176
debug TranLossPrecent   411 0.1063564885434873
debug TranLossPrecent   412 0.10693656104673033
debug TranLossPrecent   413 0.10751696524891301
debug TranLossPrecent   414 0.10809769292462361
debug TranLossPrecent   415 0.10867873591186367
debug TranLossPrecent   416 0.10926008611173782
